epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,14067.8,0.81366,0.58495,0.98504,0.76349,0.58479,0.6327,0.48511,1.24404,1.32625,1.20702,0.000332983,0.000332983,0.000332983
99,14212.2,0.83946,0.61079,0.99466,0.80795,0.56767,0.62473,0.48371,1.25249,1.34131,1.2135,0.000319231,0.000319231,0.000319231
100,14356,0.83616,0.60973,0.99591,0.8151,0.57413,0.62977,0.49862,1.20659,1.29824,1.18691,0.000305478,0.000305478,0.000305478
101,14499.1,0.82843,0.58834,0.99381,0.7235,0.59554,0.62358,0.47422,1.22346,1.30231,1.2148,0.000291725,0.000291725,0.000291725
102,14643.4,0.83151,0.60921,0.99075,0.74554,0.60271,0.61632,0.47386,1.21144,1.30564,1.20948,0.000277972,0.000277972,0.000277972
103,14786.6,0.82716,0.57846,0.98042,0.70895,0.63608,0.61992,0.49088,1.20251,1.32242,1.19651,0.00026422,0.00026422,0.00026422
104,14929.8,0.82377,0.58618,0.98825,0.74933,0.62764,0.63938,0.50034,1.22702,1.31035,1.20937,0.000250467,0.000250467,0.000250467
105,15073.8,0.81204,0.59568,0.98225,0.6988,0.61049,0.61654,0.47944,1.22944,1.36661,1.21011,0.000236714,0.000236714,0.000236714
106,15217.2,0.82485,0.58574,0.98884,0.7125,0.63413,0.61061,0.47819,1.23429,1.27814,1.21776,0.000222961,0.000222961,0.000222961
107,15361.1,0.81247,0.57379,0.98436,0.74557,0.61524,0.61813,0.48862,1.22146,1.29911,1.19888,0.000209209,0.000209209,0.000209209
108,15504.3,0.77296,0.55642,0.97239,0.77381,0.60318,0.62159,0.49385,1.21222,1.31751,1.18652,0.000195456,0.000195456,0.000195456
109,15647.4,0.78829,0.56241,0.96952,0.75454,0.59905,0.62766,0.49067,1.23719,1.31958,1.20133,0.000181703,0.000181703,0.000181703
110,15790.6,0.79074,0.55631,0.9853,0.75537,0.6206,0.64231,0.49393,1.22577,1.29872,1.19855,0.00016795,0.00016795,0.00016795
111,15932.3,0.86765,0.63631,1.01134,0.73638,0.63741,0.62588,0.49281,1.22191,1.29461,1.20099,0.000154198,0.000154198,0.000154198
112,16073.6,0.84401,0.58497,0.99466,0.77133,0.60931,0.62419,0.49362,1.21216,1.29969,1.19897,0.000140445,0.000140445,0.000140445
113,16216,0.84184,0.58119,0.97911,0.76679,0.59766,0.62312,0.48992,1.21722,1.26403,1.20672,0.000126692,0.000126692,0.000126692
114,16358.1,0.82914,0.57353,0.98462,0.76268,0.6111,0.62871,0.49738,1.21175,1.238,1.2044,0.000112939,0.000112939,0.000112939
115,16499.2,0.83182,0.55958,0.98613,0.74923,0.62097,0.62065,0.48882,1.2004,1.26255,1.19256,9.91865e-05,9.91865e-05,9.91865e-05
116,16641.4,0.81612,0.54076,0.98579,0.77408,0.60045,0.61933,0.48798,1.20539,1.27155,1.19008,8.54337e-05,8.54337e-05,8.54337e-05
117,16783.5,0.81901,0.55062,0.98737,0.77704,0.60124,0.61865,0.48597,1.21293,1.28484,1.1948,7.1681e-05,7.1681e-05,7.1681e-05
118,16926.8,0.80548,0.55223,0.97232,0.77502,0.60124,0.62137,0.49002,1.21913,1.28387,1.20399,5.79283e-05,5.79283e-05,5.79283e-05
119,17068.1,0.8054,0.55318,0.98774,0.77219,0.59795,0.62177,0.49152,1.21087,1.27285,1.19924,4.41755e-05,4.41755e-05,4.41755e-05
120,17209.9,0.81104,0.54048,0.978,0.78184,0.60124,0.6292,0.49662,1.20709,1.26747,1.19471,3.04227e-05,3.04227e-05,3.04227e-05
